1758170820000.00000,1.18006,1.18012,1.18000,1.18001,132.00000
1758170880000.00000,1.18002,1.18008,1.18001,1.18004,142.00000
1758170940000.00000,1.18004,1.18004,1.17994,1.17994,66.00000
1758171000000.00000,1.17996,1.18018,1.17995,1.18012,120.00000
1758171060000.00000,1.18013,1.18013,1.17993,1.17996,96.00000
1758171120000.00000,1.17996,1.17997,1.17994,1.17994,33.00000
1758171180000.00000,1.17994,1.18000,1.17993,1.17999,45.00000
1758171240000.00000,1.17998,1.18000,1.17982,1.17984,58.00000
1758171300000.00000,1.17986,1.17990,1.17983,1.17984,74.00000
1758171360000.00000,1.17984,1.17988,1.17965,1.17970,98.00000
1758171420000.00000,1.17972,1.17972,1.17938,1.17944,149.00000
1758171480000.00000,1.17944,1.17956,1.17944,1.17949,117.00000
1758171540000.00000,1.17948,1.17954,1.17946,1.17950,93.00000
1758171600000.00000,1.17951,1.17964,1.17948,1.17956,142.00000
1758171660000.00000,1.17956,1.17964,1.17929,1.17946,127.00000
1758171720000.00000,1.17946,1.17962,1.17943,1.17960,68.00000
1758171780000.00000,1.17962,1.17966,1.17955,1.17964,70.00000
1758171840000.00000,1.17965,1.17984,1.17962,1.17983,80.00000
1758171900000.00000,1.17982,1.17984,1.17966,1.17966,82.00000
1758171960000.00000,1.17966,1.17968,1.17954,1.17956,87.00000
1758172020000.00000,1.17955,1.17958,1.17948,1.17948,57.00000
1758172080000.00000,1.17947,1.17952,1.17934,1.17934,65.00000
1758172140000.00000,1.17932,1.17934,1.17924,1.17924,64.00000
1758172200000.00000,1.17924,1.17928,1.17914,1.17920,114.00000
1758172260000.00000,1.17919,1.17924,1.17914,1.17923,78.00000
1758172320000.00000,1.17922,1.17922,1.17914,1.17916,76.00000
1758172380000.00000,1.17917,1.17918,1.17908,1.17910,86.00000
1758172440000.00000,1.17910,1.17916,1.17908,1.17909,65.00000
1758172500000.00000,1.17910,1.17929,1.17910,1.17926,65.00000
1758172560000.00000,1.17928,1.17935,1.17926,1.17934,67.00000
1758172620000.00000,1.17933,1.17936,1.17930,1.17934,54.00000
1758172680000.00000,1.17935,1.17936,1.17926,1.17934,85.00000
1758172740000.00000,1.17934,1.17938,1.17933,1.17938,62.00000
1758172800000.00000,1.17938,1.17945,1.17937,1.17944,65.00000
1758172860000.00000,1.17944,1.17950,1.17940,1.17942,86.00000
1758172920000.00000,1.17942,1.17942,1.17930,1.17932,57.00000
1758172980000.00000,1.17932,1.17944,1.17930,1.17940,124.00000
1758173040000.00000,1.17942,1.17960,1.17942,1.17959,57.00000
1758173100000.00000,1.17960,1.17972,1.17959,1.17968,43.00000
1758173160000.00000,1.17969,1.17987,1.17969,1.17985,43.00000
1758173220000.00000,1.17986,1.17988,1.17978,1.17980,110.00000
1758173280000.00000,1.17980,1.17994,1.17974,1.17994,134.00000
1758173340000.00000,1.17993,1.17993,1.17978,1.17978,108.00000
1758173400000.00000,1.17979,1.17992,1.17978,1.17990,80.00000
1758173460000.00000,1.17990,1.18004,1.17988,1.17994,115.00000
1758173520000.00000,1.17992,1.18003,1.17985,1.18002,97.00000
1758173580000.00000,1.18001,1.18002,1.17994,1.17996,82.00000
1758173640000.00000,1.17995,1.17996,1.17988,1.17988,55.00000
1758173700000.00000,1.17986,1.17986,1.17968,1.17970,77.00000
1758173760000.00000,1.17969,1.17974,1.17966,1.17972,53.00000
1758173820000.00000,1.17972,1.17985,1.17972,1.17984,40.00000
1758173880000.00000,1.17982,1.17982,1.17952,1.17956,119.00000
1758173940000.00000,1.17955,1.17956,1.17938,1.17949,89.00000
1758174000000.00000,1.17948,1.17952,1.17940,1.17942,69.00000
1758174060000.00000,1.17943,1.17944,1.17928,1.17928,84.00000
1758174120000.00000,1.17930,1.17934,1.17922,1.17922,85.00000
1758174180000.00000,1.17923,1.17932,1.17918,1.17918,111.00000
1758174240000.00000,1.17918,1.17929,1.17916,1.17923,102.00000
1758174300000.00000,1.17922,1.17924,1.17913,1.17918,75.00000
1758174360000.00000,1.17917,1.17924,1.17914,1.17918,78.00000
1758174420000.00000,1.17918,1.17919,1.17896,1.17900,128.00000
1758174480000.00000,1.17898,1.17898,1.17870,1.17882,200.00000
1758174540000.00000,1.17883,1.17905,1.17883,1.17904,89.00000
1758174600000.00000,1.17905,1.17915,1.17903,1.17910,93.00000
1758174660000.00000,1.17910,1.17914,1.17906,1.17910,75.00000
1758174720000.00000,1.17910,1.17910,1.17894,1.17900,90.00000
1758174780000.00000,1.17902,1.17902,1.17884,1.17889,72.00000
1758174840000.00000,1.17889,1.17890,1.17856,1.17869,164.00000
1758174900000.00000,1.17869,1.17872,1.17865,1.17872,133.00000
1758174960000.00000,1.17872,1.17893,1.17872,1.17886,113.00000
1758175020000.00000,1.17887,1.17894,1.17876,1.17880,135.00000
1758175080000.00000,1.17880,1.17890,1.17880,1.17888,152.00000
1758175140000.00000,1.17890,1.17910,1.17890,1.17909,84.00000
1758175200000.00000,1.17910,1.17936,1.17908,1.17935,209.00000
1758175260000.00000,1.17936,1.17936,1.17894,1.17894,176.00000
1758175320000.00000,1.17894,1.17904,1.17887,1.17889,152.00000
1758175380000.00000,1.17888,1.17894,1.17870,1.17874,166.00000
1758175440000.00000,1.17874,1.17879,1.17856,1.17864,207.00000
1758175500000.00000,1.17864,1.17864,1.17846,1.17846,175.00000
1758175560000.00000,1.17844,1.17854,1.17843,1.17852,163.00000
1758175620000.00000,1.17850,1.17851,1.17828,1.17842,166.00000
1758175680000.00000,1.17842,1.17852,1.17842,1.17846,152.00000
